name,age,vintage,vol,ml,price
"Hakushu, Original BottlingSingle Cask Whisky b.2009",12,1997,56.00%,700,380 €January 2018
"Hakushu, Original BottlingHeavily Peated",,,48.00%,700,354 €May 2019
"Hakushu, Original Bottling",12,,43.00%,700,141 €June 2019
"Hakushu, Original Bottling",10,,40.00%,350,120 €May 2019
"Hakushu, Original BottlingVintage Malt b.2004",11,1993,56.00%,700,1204 €June 2019
"Hakushu, Original Bottling",12,,43.30%,700,70 €July 2015
"Hakushu, Original Bottling Miniature",12,,43.00%,50,136 €May 2019
"Hakushu, Original Bottling",18,,43.00%,700,452 €June 2019
"Hakushu, Original Bottling",10,,40.00%,180,63 €May 2019
"Hakushu, Original BottlingBourbon Barrel",,,48.20%,700,423 €May 2019
"Hakushu, Original BottlingThe Cask of Hakushu b.2008One of 246 Bottles (Cask 3b40576)",15,1993,59.00%,700,1165 €February 2019
"Hakushu, Original BottlingWSO-008 b.2015",,,48.00%,300,55 €May 2019
"Hakushu, Original BottlingSherry Cask 2014 b.2014One of 3000 Bottles",,,48.00%,700,1770 €May 2019
"Hakushu, Original BottlingThe Owner´s Cask b.2007One of 166 Bottles (Cask bd40264)",10,1997,59.00%,700,557 €November 2016
"Hakushu, Original Bottling",18,,43.50%,700,421 €April 2019
"Hakushu, Original Bottling",25,,43.00%,700,3008 €June 2019
"Hakushu, Original BottlingSingle Cask(Cask 2f41532)",,1992,59.00%,700,885 €May 2019
"Hakushu, Original BottlingPure Malt",15,,56.00%,190,201 €June 2018
"Hakushu, Original Bottling",18,,43.00%,750,393 €March 2019
"Hakushu, Original BottlingThe Essence b.2018",6,2012,57.00%,500,247 €June 2019
"Hakushu, Original BottlingSherry Cask 2012 b.2012",,,48.00%,700,882 €April 2018
"Hakushu, Original BottlingDistillery Exclusive",,,40.00%,300,75 €January 2018
"Hakushu, Original Bottling",10,,40.00%,700,216 €June 2019
"Hakushu, Original BottlingSelectOne of 157 Bottles (Cask bd40263)",,1997,58.00%,700,1416 €September 2018
"Hakushu, Original BottlingThe Cask of Hakushu b.2008One of 509 Bottles (Cask 3c40792)",15,1993,60.00%,700,2819 €March 2019
"Hakushu, Original BottlingSingle Cask b.2003One of 396 Bottles (Cask wh40506)",19,1984,61.00%,700,951 €March 2016
"Hakushu, Original BottlingThe Cask of Hakushu b.2008(Cask 3c40788)",15,1993,60.00%,700,1277 €November 2017
"Hakushu, Original BottlingSherry Cask b.2009(Cask 9050021)",20,1989,62.00%,700,3205 €December 2018
"Hakushu, Original BottlingLimited Edition",25,,43.00%,700,3145 €April 2019
"Hakushu, Original Bottling",12,,43.30%,700,70 €July 2015
"Hakushu, Original Bottling30th Anniversary Pure Malt",,,43.00%,700,1844 €November 2018
"Hakushu, Original BottlingVintage Malt b.2004",11,1993,56.00%,700,1204 €June 2019
"Hakushu, Original Bottling",10,,40.00%,180,63 €May 2019
