name,age,vintage,vol,ml,price
"Glen Scotia, Scotch Malt Whisky Society93.53 b.2012One of 233 Bottles",10,2002,58.70%,700,55 €June 2014
"Glen Scotia, Scotch Malt Whisky Society93.80 b.2017One of 270 Bottles",7,2010,60.60%,700,56 €February 2018
"Glen Scotia, Scotch Malt Whisky Society93.81 b.2017One of 180 Bottles",11,2006,58.50%,700,75 €November 2018
"Glen Scotia, Scotch Malt Whisky Society93.94 b.2017One of 226 Bottles",15,2002,56.80%,700,80 €February 2019
"Glen Scotia, Scotch Malt Whisky Society93.96 b.2017One of 234 Bottles",11,2006,53.30%,700,79 €March 2019
"Glen Scotia, Scotch Malt Whisky Society93.57 b.2013One of 407 Bottles",21,1992,58.30%,700,174 €August 2016
"Glen Scotia, Scotch Malt Whisky Society93.1 b.1991",12,1979,58.90%,750,385 €July 2018
"Glen Scotia, Scottish Liqueur Centre b.2008(Cask 218)",16,1992,46.80%,700,45 €December 2012
"Glen Scotia, Sestante b.2011One of 321 Bottles",19,1992,59.20%,700,209 €September 2018
"Glen Scotia, Signatory Vintage b.2005One of 254 Bottles",31,1974,44.00%,700,254 €August 2017
"Glen Scotia, Signatory Vintage b.2009One of 207 Bottles (Cask 979)",32,1977,54.20%,700,286 €June 2019
"Glen Scotia, Signatory VintageCask Strength Collection b.2007One of 219 Bottles (Cask 847)",33,1974,44.20%,700,354 €May 2019
"Glen Scotia, Signatory Vintage b.2005One of 254 Bottles (Cask 845)",31,1974,44.00%,700,361 €January 2018
"Glen Scotia, Signatory Vintage b.2001One of 620 Bottles (Cask 221 224)",10,1991,43.00%,700,66 €January 2019
"Glen Scotia, Signatory Vintage b.2012One of 197 Bottles (Cask 2750)",35,1977,52.50%,700,476 €May 2018
"Glen Scotia, Signatory Vintage b.2000One of 722 Bottles (Cask 222 223)",9,1991,43.00%,700,63 €May 2019
"Glen Scotia, Signatory Vintage b.2001One of 3030 Bottles (Cask 276)",11,1990,43.00%,700,56 €June 2018
"Glen Scotia, Signatory Vintage b.2000One of 308 Bottles (Cask 197)",9,1991,43.00%,700,50 €April 2018
"Glen Scotia, Silver Seal b.2003One of 655 Bottles",12,1991,43.00%,700,81 €February 2018
"Glen Scotia, The Merchant's Collection b.1996",7,1989,43.00%,700,33 €December 2011
"Glen Scotia, The Merchant's Collection b.2002",12,1990,43.00%,700,97 €June 2019
"Glen Scotia, The Whisky Agency b.2014One of 120 Bottles",22,1992,50.90%,700,186 €January 2019
"Glen Scotia, The Whisky AgencyLiquid Library b.2011One of 297 Bottles",19,1992,46.00%,700,134 €April 2019
"Glen Scotia, The Whisky AgencyThe Nectar b.2013One of 279 Bottles",22,1991,50.40%,700,189 €February 2019
"Glen Scotia, The Whisky AgencyPrivate Stock b.2010One of 92 Bottles",38,1972,40.10%,700,427 €January 2018
"Glen Scotia, The Whisky Fair b.2005One of 96 Bottles",30,1975,47.50%,700,365 €May 2017
"Glen Scotia, The Whisky Fair b.2006One of 464 Bottles (Cask 541 542)",7,1999,52.70%,700,105 €June 2019
"Glen Scotia, The Whisky TalkerMo Ór Collection b.2010One of 1076 Bottles",18,1992,46.00%,500,109 €March 2018
"Glen Scotia, The WhiskymanThe Stills b.2014One of 162 Bottles",22,1992,51.30%,700,124 €June 2019
"Glen Scotia, Thosop",,1992,48.20%,700,235 €October 2018
"Glen Scotia, Wemyss MaltsOcean Tempest Strong Box b.2015One of 293 Bottles",24,1991,46.00%,700,92 €June 2019
"Glen Scotia, Wemyss MaltsSeville Bazaar Strong Box b.2015One of 737 Bottles",24,1991,46.00%,700,116 €January 2016
