age,vintage,bottled,avp,size,price,name,bottling,bottler,loc/type,country,name_1,name_2
58.0,1954.0,2012.0,43.00%,700,1944.7200000000007,Mortlach,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Mortlach,Mortlach
32.0,1979.0,2011.0,52.50%,700,1596.18,Port Ellen 12th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
35.0,1937.0,1972.0,43.00%,750,1793.7600000000002,Strathisla Connoisseurs Choice (Pinerolo),"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Strathisla,Strathisla Connoisseurs
35.0,1976.0,2011.0,43.40%,700,1419.69,Laphroaig,"Scotia Royale, Islay Single Malt",Scotia Royale,Islay,UK,Laphroaig,Laphroaig
56.0,1948.0,2004.0,40.00%,700,2093.46,Strathisla,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Strathisla,Strathisla
30.0,1964.0,1994.0,54.10%,700,1222.11,Glenfarclas,"Signatory Vintage, Speyside Single Malt",Signatory Vintage,Speyside,UK,Glenfarclas,Glenfarclas
46.0,1954.0,2000.0,43.00%,700,1280.94,Glenfarclas,"Original Bottling, Speyside Single Malt",Original Bottling,Speyside,UK,Glenfarclas,Glenfarclas
37.0,1973.0,2010.0,50.60%,700,1434.12,Highland Park,"Original Bottling, Islands Single Malt",Original Bottling,Islands,UK,Highland,Highland Park
19.0,1979.0,1998.0,61.00%,750,1699.41,North Port Rare Malts,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,North,North Port
22.0,1959.0,1981.0,46.00%,750,1152.18,Teaninich,"Samaroli, Highlands Single Malt",Samaroli,Highlands,UK,Teaninich,Teaninich
18.0,1958.0,1976.0,43.00%,750,1292.0400000000004,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt",Original Bottling,Islands,UK,Highland,Highland Park
27.0,1978.0,2005.0,54.20%,700,1100.01,Port Ellen 6th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
18.0,1972.0,1990.0,43.00%,750,1011.21,Glendronach,"Original Bottling, Highlands Single Malt",Original Bottling,Highlands,UK,Glendronach,Glendronach
18.0,1960.0,1978.0,43.00%,750,919.08,Highland Park,"Original Bottling, Islands Single Malt",Original Bottling,Islands,UK,Highland,Highland Park
42.0,1973.0,2015.0,43.00%,700,1232.1,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan Speymalt
20.0,1990.0,2010.0,46.00%,700,410.70000000000016,Macallan 30th Anniversary,"Moon-Import, Speyside Single Malt",Moon-Import,Speyside,UK,Macallan,Macallan 30th
32.0,1979.0,2011.0,53.90%,700,1300.92,Port Ellen 11th Annual Release,"Original Bottling, Islay Single Malt",Original Bottling,Islay,UK,Port,Port Ellen
59.0,1953.0,2012.0,43.00%,700,1452.9900000000002,Strathisla Distillery Labels,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Strathisla,Strathisla Distillery
34.0,1937.0,1971.0,43.00%,750,1466.3100000000006,Strathisla Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Strathisla,Strathisla Connoisseurs
40.0,1969.0,2009.0,47.30%,700,1284.2700000000002,Kinclaith Cask Strength,"Signatory Vintage, Lowlands Single Malt",Signatory Vintage,Lowlands,UK,Kinclaith,Kinclaith Cask
23.0,1980.0,2003.0,52.60%,700,1314.24,Bowmore Queen´s Visit,"The Scottish Independent Distillers Co. Ltd., Islay Single Malt",The Scottish Independent Distillers Co. Ltd.,Islay,UK,Bowmore,Bowmore Queen´s
32.0,1973.0,2005.0,40.00%,700,647.1300000000001,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt",Gordon & MacPhail,Speyside,UK,Macallan,Macallan Speymalt
23.0,1965.0,1988.0,46.00%,750,1001.22,Bladnoch The Costumes,"Moon-Import, Lowlands Single Malt",Moon-Import,Lowlands,UK,Bladnoch,Bladnoch The
8.0,2009.0,2017.0,61.90%,700,1794.87,Chichibu Warrior Series,"Original Bottling, Japan Single Malt",Original Bottling,Japan,JP,Chichibu,Chichibu Warrior
22.0,1966.0,1988.0,46.00%,750,874.6800000000003,Glenlossie The Costumes,"Moon-Import, Speyside Single Malt",Moon-Import,Speyside,UK,Glenlossie,Glenlossie The
