6,2007,2013,64.50%,700 ml,NA,302,188 €,Octomore,"Rest & be Thankful Whisky Company, Islay Single Malt"
5,NA,NA,61.00%,700 ml,NA,18000,237 €,Octomore 4.2 (Comus),"Original Bottling, Islay Single Malt"
6,NA,NA,46.00%,700 ml,NA,753,211 €,Octomore Renegade (Meleager),"Original Bottling, Islay Single Malt"
10,NA,NA,43.00%,700 ml,NA,NA,46 €,Fettercairn,"Original Bottling, Highlands Single Malt"
10,NA,NA,43.00%,700 ml,NA,NA,51 €,Fettercairn (Old Style),"Original Bottling, Highlands Single Malt"
NA,NA,NA,40.00%,750 ml,NA,NA,81 €,Fettercairn Single Malt (1980s),"Original Bottling, Highlands Single Malt"
26,1974,2000,46.00%,700 ml,NA,1600,307 €,Pulteney Highland Selection,"Original Bottling, Highlands Single Malt"
26,1990,2016,58.90%,700 ml,441,150,299 €,Pulteney,"Original Bottling, Highlands Single Malt"
NA,1990,NA,46.00%,700 ml,NA,NA,167 €,Pulteney Lightly Peated,"Original Bottling, Highlands Single Malt"
NA,1976,NA,43.00%,700 ml,NA,NA,177 €,Pittyvaich,"Signatory Vintage, Speyside Single Malt"
14,1976,1990,57.20%,750 ml,NA,NA,456 €,Pittyvaich 90.1,"Scotch Malt Whisky Society, Speyside Single Malt"
7,2002,2009,63.50%,700 ml,1213,230,180 €,Port Charlotte Smith Reserve,"Original Bottling, Islay Single Malt"
12,NA,NA,62.70%,50 ml,NA,NA,293 €,Port Ellen,"James MacArthur, Islay Single Malt"
17,1970,1987,40.00%,750 ml,NA,NA,1012 €,Port Ellen Connoisseurs Choice (Old Style),"Gordon & MacPhail, Islay Single Malt"
14,1974,1988,65.50%,750 ml,NA,NA,1385 €,Port Ellen,"Sestante, Islay Single Malt"
25,1975,2000,46.00%,700 ml,NA,NA,666 €,Port Ellen First Bottling,"Original Bottling, Islay Single Malt"
24,1976,2000,50.00%,700 ml,NA,240,644 €,Port Ellen First Bottling,"Silver Seal, Islay Single Malt"
25,1979,2004,57.40%,200 ml,NA,5280,416 €,Port Ellen 5th Annual Release,"Original Bottling, Islay Single Malt"
28,1979,2007,54.70%,200 ml,NA,5274,392 €,Port Ellen 7th Annual Release,"Original Bottling, Islay Single Malt"
30,1979,2009,52.10%,700 ml,NA,190,794 €,Port Ellen Old & Rare,"Douglas Laing, Islay Single Malt"
34,1979,2013,46.00%,700 ml,NA,654,752 €,Port Ellen Rare Old,"Gordon & MacPhail, Islay Single Malt"
24,1979,2003,56.80%,700 ml,6773,541,509 €,Port Ellen Cask Strength Collection,"Signatory Vintage, Islay Single Malt"
17,1980,1997,40.00%,700 ml,NA,NA,396 €,Port Ellen Connoisseurs Choice,"Gordon & MacPhail, Islay Single Malt"
21,1982,2003,46.00%,700 ml,NA,375,675 €,Port Ellen,"Silver Seal, Islay Single Malt"
20,1982,2002,61.20%,700 ml,NA,NA,997 €,Port Ellen,"Scotch Single Malt Circle, Islay Single Malt"
26,1982,2008,59.30%,700 ml,1514,267,375 €,Port Ellen Cask Strength Collection,"Signatory Vintage, Islay Single Malt"
20,1982,2002,40.00%,700 ml,NA,120,604 €,Port Ellen,"Silver Seal, Islay Single Malt"
26,1982,2008,50.00%,700 ml,NA,148,739 €,Port Ellen,"Silver Seal, Islay Single Malt"
19,NA,NA,50.00%,50 ml,NA,NA,66 €,Port Ellen,"Douglas Laing, Islay Single Malt"
NA,NA,NA,58.70%,500 ml,NA,NA,426 €,Port Ellen Pe1 Elements of Islay,"Speciality Drinks, Islay Single Malt"
NA,1937,NA,40.00%,50 ml,NA,NA,106 €,Macallan Pride of Strathspey,"Gordon & MacPhail, Speyside Single Malt"
17,NA,NA,46.00%,50 ml,NA,NA,55 €,Rosebank (1980s),"Cadenhead, Lowlands Single Malt"
28,1967,1995,53.40%,50 ml,2498,NA,183 €,Rosebank,"Signatory Vintage, Lowlands Single Malt"
13,1978,1991,58.90%,50 ml,NA,NA,80 €,Rosebank,"James MacArthur, Lowlands Single Malt"
12,1969,1981,40.00%,750 ml,NA,NA,286 €,Brackla Connoisseurs Choice,"Gordon & MacPhail, Highlands Single Malt"
10,NA,NA,55.10%,750 ml,NA,NA,405 €,Brackla 55.1,"Scotch Malt Whisky Society, Highlands Single Malt"
12,1984,1996,43.00%,350 ml,NA,NA,28 €,Brackla,"Signatory Vintage, Highlands Single Malt"
12,NA,NA,40.00%,750 ml,NA,NA,81 €,Lochnagar Single Highland Malt (1980s),"Original Bottling, Highlands Single Malt"
24,1972,1996,55.70%,750 ml,NA,NA,285 €,Lochnagar Rare Malts,"Original Bottling, Highlands Single Malt"
33,1973,2006,57.20%,700 ml,NA,245,341 €,Lochnagar Old & Rare,"Douglas Laing, Highlands Single Malt"
NA,NA,NA,43.00%,750 ml,NA,NA,157 €,Lochnagar Selected Reserve  (US Import),"Original Bottling, Highlands Single Malt"
NA,1977,NA,64.30%,750 ml,NA,NA,484 €,Scapa Cask Strength,"Gordon & MacPhail, Islands Single Malt"
20,1993,2013,58.60%,500 ml,sc 20 007,NA,205 €,Scapa Cask Strength Edition,"Chivas Brothers, Islands Single Malt"
15,2001,2016,53.50%,500 ml,663,312,141 €,Scapa Distillery Exclusive,"Original Bottling, Islands Single Malt"
12,2003,2015,58.50%,500 ml,9-12,2148,96 €,Scapa Cask Strength Edition,"Original Bottling, Islands Single Malt"
NA,NA,NA,40.00%,700 ml,7,NA,46 €,Scapa Skiren,"Original Bottling, Islands Single Malt"
21,1990,2011,64.70%,700 ml,902,425,552 €,Shinshu Mars Single Cask,"Original Bottling, Japan Single Malt"
12,1992,2004,43.00%,720 ml,1124,NA,308 €,Shinshu Mars Single Cask,"Original Bottling, Japan Single Malt"
12,1992,2004,43.00%,720 ml,1143,NA,210 €,Shinshu Mars Single Cask (American White Oak),"Original Bottling, Japan Single Malt"
30,1986,2016,48.00%,700 ml,NA,619,1376 €,Shinshu Mars Komagatake (Sherry Cask),"Original Bottling, Japan Single Malt"
NA,1980,NA,43.00%,750 ml,NA,NA,104 €,Auchroisk Singleton,"Original Bottling, Speyside Single Malt"
NA,1981,NA,40.00%,700 ml,NA,NA,74 €,Auchroisk Singleton,"Original Bottling, Speyside Single Malt"
NA,NA,NA,43.00%,700 ml,NA,NA,37 €,Smokehead Islay Single Malt,"Ian Macleod,  Single Malt"
12,NA,NA,43.00%,700 ml,NA,NA,1383 €,Speyburn Flora & Fauna,"Original Bottling, Speyside Single Malt"
16,1986,2002,46.00%,700 ml,NA,NA,95 €,Speyburn Highland Selection,"Original Bottling, Speyside Single Malt"
10,NA,NA,46.00%,700 ml,NA,NA,63 €,Springbank (Old Style Cream Label),"Original Bottling, Campbeltown Single Malt"
12,NA,NA,57.00%,50 ml,NA,NA,105 €,Springbank 100 Proof (1980s),"Original Bottling, Campbeltown Single Malt"
12,NA,NA,59.80%,50 ml,NA,NA,37 €,Springbank,"James MacArthur, Campbeltown Single Malt"
15,NA,NA,46.00%,50 ml,NA,NA,47 €,Springbank (1980s),"Original Bottling, Campbeltown Single Malt"
15,NA,NA,46.00%,50 ml,NA,NA,18 €,Springbank Green Thistle (1980s),"Original Bottling, Campbeltown Single Malt"
28,1974,2002,54.00%,700 ml,2380,198,230 €,Springbank Dun Bheagan,"William Maxwell & Co. Ltd., Campbeltown Single Malt"
8,1980,1988,50.00%,750 ml,NA,660,305 €,Springbank,"Samaroli, Campbeltown Single Malt"
13,1989,2002,54.50%,700 ml,NA,NA,205 €,Springbank 27.50,"Scotch Malt Whisky Society, Campbeltown Single Malt"
12,1991,2003,58.50%,700 ml,NA,NA,147 €,Springbank,"Lombard, Campbeltown Single Malt"
23,1993,2016,52.30%,700 ml,321,NA,243 €,Springbank Private Cask,"Original Bottling, Campbeltown Single Malt"
