0,1,2,3,4,5,6,7,8,9
30,NA,2012,48.90%,700 ml,NA,518,1003 €,Bowmore Sea Dragon (2012 Release),"Original Bottling, Islay Single Malt"
42,1973,2015,43.00%,700 ml,NA,NA,1110 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
20,1990,2010,46.00%,700 ml,4054,300,370 €,Macallan 30th Anniversary,"Moon-Import, Speyside Single Malt"
32,1979,2011,53.90%,700 ml,NA,2988,1172 €,Port Ellen 11th Annual Release,"Original Bottling, Islay Single Malt"
59,1953,2012,43.00%,700 ml,NA,NA,1309 €,Strathisla Distillery Labels,"Gordon & MacPhail, Speyside Single Malt"
34,1937,1971,43.00%,750 ml,NA,NA,1321 €,Strathisla Connoisseurs Choice,"Gordon & MacPhail, Speyside Single Malt"
40,1969,2009,47.30%,700 ml,301445,217,1157 €,Kinclaith Cask Strength,"Signatory Vintage, Lowlands Single Malt"
10,NA,2007,57.30%,4500 ml,NA,1000,1056 €,Ardbeg 1st Edition,"Original Bottling, Islay Single Malt"
23,1980,2003,52.60%,700 ml,5777,236,1184 €,Bowmore Queen´s Visit,"The Scottish Independent Distillers Co. Ltd., Islay Single Malt"
NA,NA,NA,53.90%,700 ml,NA,2000,1277 €,Bowmore Mizunara Oak,"Original Bottling, Islay Single Malt"
25,NA,NA,43.00%,750 ml,NA,NA,799 €,Glenlivet Special Jubilee Reserve,"Original Bottling, Speyside Single Malt"
32,1973,2005,40.00%,700 ml,NA,NA,583 €,Macallan Speymalt,"Gordon & MacPhail, Speyside Single Malt"
23,1965,1988,46.00%,750 ml,NA,NA,902 €,Bladnoch The Costumes,"Moon-Import, Lowlands Single Malt"
30,NA,2006,55.70%,700 ml,NA,2130,853 €,Brora 2006 Release,"Original Bottling, Highlands Single Malt"
37,NA,2015,50.40%,700 ml,NA,2078,1412 €,Brora 2015 Release,"Original Bottling, Highlands Single Malt"
8,2009,2017,61.90%,700 ml,2369,NA,1617 €,Chichibu Warrior Series,"Original Bottling, Japan Single Malt"
31,NA,NA,52.20%,700 ml,4,NA,998 €,Craigellachie,"Original Bottling, Speyside Single Malt"
22,1966,1988,46.00%,750 ml,3778,NA,788 €,Glenlossie The Costumes,"Moon-Import, Speyside Single Malt"
18,1956,1974,43.00%,750 ml,NA,NA,744 €,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt"
46,1946,1992,40.00%,700 ml,NA,NA,1179 €,Linkwood,"Gordon & MacPhail, Speyside Single Malt"
25,NA,NA,43.00%,700 ml,NA,NA,932 €,Macallan Sherry Oak (Pink Ribbon),"Original Bottling, Speyside Single Malt"
32,NA,2011,54.70%,700 ml,NA,1500,950 €,Brora 2011 Release,"Original Bottling, Highlands Single Malt"
25,1992,2017,61.40%,700 ml,34748,618,952 €,Glenfiddich 130th Anniversary,"Original Bottling, Speyside Single Malt"
25,1981,2006,61.40%,700 ml,NA,4710,836 €,Rosebank 2007 Release,"Original Bottling, Lowlands Single Malt"
20,1981,2001,62.00%,700 ml,NA,9000,1062 €,Talisker Special Releases (2002 Release),"Original Bottling, Islands Single Malt"
40,1963,2003,42.90%,700 ml,NA,743,1038 €,Bunnahabhain (Feis Ile 2003),"Original Bottling, Islay Single Malt"
18,1988,2006,43.00%,700 ml,NA,NA,765 €,Macallan,"Original Bottling, Speyside Single Malt"
18,1988,2006,40.00%,700 ml,NA,NA,1022 €,Macallan,"Original Bottling, Speyside Single Malt"
17,1958,1975,43.00%,750 ml,NA,NA,926 €,Highland Park (Ferraretto),"Original Bottling, Islands Single Malt"
26,1977,2003,52.10%,700 ml,4258,480,905 €,Highland Park Scottish Field Merchant´s,"Original Bottling, Islands Single Malt"
28,1979,2007,53.80%,700 ml,NA,5274,979 €,Port Ellen 7th Annual Release,"Original Bottling, Islay Single Malt"
23,1985,2008,51.70%,700 ml,NA,NA,420 €,Yoichi 116.13,"Scotch Malt Whisky Society, Japan Single Malt"
35,1979,2014,46.00%,700 ml,NA,610,853 €,Port Ellen Rare Old,"Gordon & MacPhail, Islay Single Malt"
20,1975,1995,54.90%,700 ml,NA,NA,1016 €,Brora Rare Malts,"Original Bottling, Highlands Single Malt"
16,NA,1994,64.00%,700 ml,NA,NA,746 €,Oban Manager´s Dram (200th Anniversary),"Original Bottling, Highlands Single Malt"
35,1977,2013,49.90%,700 ml,NA,2944,1163 €,Brora 2013 Release,"Original Bottling, Highlands Single Malt"
35,NA,2014,48.60%,700 ml,NA,2964,1244 €,Brora 2014 Release,"Original Bottling, Highlands Single Malt"
18,1986,2004,43.00%,700 ml,NA,NA,792 €,Macallan,"Original Bottling, Speyside Single Malt"
29,1978,2007,55.30%,700 ml,NA,6618,917 €,Port Ellen 8th Annual Release,"Original Bottling, Islay Single Malt"
38,1975,2013,45.60%,700 ml,NA,500,801 €,Auchentoshan Bourbon Cask,"Original Bottling, Lowlands Single Malt"
25,1971,1996,43.00%,700 ml,NA,2500,764 €,Glenmorangie The Culloden,"Original Bottling, Highlands Single Malt"
15,2000,2015,58.80%,700 ml,63,300,897 €,Hanyu Single Cask (Ichiro´s Malt),"Original Bottling, Japan Single Malt"
12,NA,NA,43.00%,750 ml,NA,NA,1170 €,Lagavulin White Horse,"Original Bottling, Islay Single Malt"
36,1968,2004,53.80%,700 ml,NA,NA,927 €,Longmorn 7.27,"Scotch Malt Whisky Society, Speyside Single Malt"
23,1977,2000,50.00%,700 ml,NA,240,854 €,Macallan,"Silver Seal, Speyside Single Malt"
35,1977,2012,50.40%,700 ml,NA,199,993 €,Port Ellen Old & Rare,"Douglas Laing, Islay Single Malt"
