Index,Maker,Year Distrilled,age in cast,ABV,Single Malt Scotch,Flavored Whiskey and Liqueurs,Bourbon, Blended Malt Scotch Whisky ,Blended Scotch Whisky,Blended Whiskey (Multi-country), Single Malt Whisky (Multi-country), Single Grain Whisky (Multi-country),Japan, Canada,Irish,Generic Whisky (Multi-country),Rye Whisky,White Whisky,Craft Whisky,SUM,Review Score (Points), price ,Original Style,country
4882,Smögen,,,60.90%,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,82,$110 ,Single Malt Swedish Whisky,SE
4889,Benromach,,18 years old,40.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$80 ,Single Malt Scotch,UK
4890,Peerless,,36 years old,45.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$160 ,Single Malt Scotch,UK
4891,Douglas Laing,,15 years old,48.40%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$153 ,Single Malt Scotch,UK
4892,Bruichladdich,1986,18 years old,57.50%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$140 ,Single Malt Scotch,UK
4893,Bruichladdich,,8 years old,50.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$65 ,Single Malt Scotch,UK
4894,Caol Ila,,18 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$65 ,Single Malt Scotch,UK
4895,Mackillop,1979,26 years old,43.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$135 ,Single Malt Scotch,UK
4896,Caol Ila,2011,12 years old,64.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$84 ,Single Malt Scotch,UK
4897,Wemyss,,16 years old,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$109 ,Single Malt Scotch,UK
4898,Murray McDavid,1976,,46.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$210 ,Single Malt Scotch,UK
4899,Berry Bros & Rudd,,14 years old,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$93 ,Single Malt Scotch,UK
4900,Deanston,,15 years old,46.30%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81,$115 ,Single Malt Scotch,UK
